seq,station,operation_type,labor_minutes,primary_role,material_pull,work_script,quality_gate,tools_support,output
10,Receiving,Logistics,8,Material handler,"Supplier cartons; packing list; purchase order","Receive cartons; inspect for damage; confirm part numbers; flag shortages; release accepted parts","Parts match PO and no damage is visible","Receiving bench; barcode scanner; quarantine bin","Accepted parts available for kitting"
20,Kitting,Material prep,12,Material handler,"Frame; arms; motors; ESCs; power; controls; sensors; packaging","Pull BOM items; verify quantities; group by station; attach traveler; stage kit at Airframe","Kit checklist complete with no missing critical parts","Kit cart; labeled bins; BOM traveler","Complete drone build kit"
30,Airframe,Assembly,35,Mechanical assembler,"Frame kit; arm set; fasteners; motors; thread-lock","Build frame; install arms; mount motors; route motor leads; torque fasteners; mark completed joints","Frame square; motors secure; torque marks present","Torque driver; fixture; thread-lock; ESD mat","Mechanical drone frame with motors"
40,Electronics,Assembly,48,Electrical assembler,"ESCs; PDB; battery lead; flight controller; receiver; GPS; camera; wiring","Install ESCs and power board; mount flight controller; connect receiver; GPS; payload; harnesses","Polarity verified; harness secured; no exposed conductors","Soldering station; multimeter; ESD controls; cable ties","Electrically assembled drone"
50,Firmware,Configuration,22,Test technician,"Firmware image; configuration profile; serial record","Flash firmware; set frame orientation; bind receiver; calibrate accelerometer; compass; radio endpoints","Firmware version and calibration results recorded","Configuration laptop; USB cable; radio transmitter","Configured drone ready for motor test"
60,Motor Test,Test,18,Test technician,"Propeller set; battery; test record","Test motor direction without props; verify throttle response; install matched props after pass","All motors spin correct direction and current draw is within limit","Guarded test stand; battery checker; prop tool","Prop-equipped drone cleared for QA"
70,QA Test,Inspection,35,Quality technician,"Inspection and test record; charged battery","Run visual inspection; sensor check; communications check; hover or cage flight test; document results","Flight; sensors; radio; camera; labels; serial record accepted","Flight cage; inspection checklist; scale; laptop","Accepted finished drone"
80,Packaged,Finished goods,14,Packaging operator,"Packaging kit; labels; manuals; accessories bag","Apply labels; place drone and accessories in protective packaging; add documentation; seal carton","Carton label; serial number; paperwork match QA record","Label printer; scale; packaging bench","Packaged finished drone"
90,FG Inventory,Logistics,6,Inventory clerk,"Packaged drone; finished goods traveler","Scan finished good; assign storage location; update available stock; stage for allocation","Inventory transaction complete and location assigned","Barcode scanner; inventory rack; ERP transaction","Available finished goods inventory"
110,Case Receiving,Logistics,20,Material handler,"Shell blanks; foam stock; hardware cartons; packing list","Receive case materials; inspect for damage; confirm part numbers; release accepted parts","Parts match PO and no damage is visible","Receiving bench; barcode scanner; quarantine bin","Accepted case materials for staging"
120,Case Staging,Material prep,12,Material handler,"Shell blanks; foam blocks; hinges; latches; handles; seals; fasteners; labels","Pull case BOM items; verify quantities; group by station; stage kit at Shell Forming","Kit checklist complete with no missing parts","Kit cart; labeled bins; BOM traveler","Complete case build kit"
130,Shell Forming,Forming,25,Forming operator,"Molded shell blank set","Form and trim shell halves; deburr edges; check hinge and latch mounting surfaces","Shell halves mate square with no trim defects","Trim fixture; deburr tools; go/no-go gauges","Trimmed shell set ready for foam"
140,Foam Fit,Fabrication,18,Fabrication operator,"Foam insert block set; fit template","Cut foam cavities; fit inserts to shell; verify drone, battery, and accessory fit","All cavities hold contents secure with no interference","CNC foam cutter; fit template; knife set","Foam fitted case shell"
150,Hardware,Assembly,15,Mechanical assembler,"Hinge set; latch set; handle; seal kit; fastener kit","Install hinges, latches, handle, and gasket; torque fasteners; check closure action","Latches engage, seal seats, and hinge action is smooth","Torque driver; rivet tool; closure gauge","Assembled transport case"
160,Inspection,Inspection,10,Quality technician,"Case label and badge set; inspection record","Inspect closure, seal, and fit; apply serial and compliance labels; record acceptance","Closure, seal, fit, and labels accepted and recorded","Inspection checklist; label printer; gauge set","Accepted labeled case"
170,Case Inventory,Logistics,8,Inventory clerk,"Finished case; case traveler","Scan finished case; assign storage location; update case stock for drone packaging pull","Inventory transaction complete and location assigned","Barcode scanner; inventory rack; ERP transaction","Available case inventory for drone packaging"
